"Alias","Run","Habitat","Individual","Dataset","Acc.no","total.input.read..pairs.","Rejected.1st.read.pair","Rejected.2nd.read.pair","Accepted.1st.read.pair","Accepted.2nd.read.pair","Singleton.1st.read.pair","Singleton.2nd.read.pair","Avg.read.length","AvgQual.read.quality..if.quality.information.available.","average.accumulated.Error","Latitude","Longitude","Date.when.the.sample.was.collected."
"S110","ERR1877788","Temperate_coniferous_forests","-","Global_soil","ENA_ERP020652",16907450,1785363,4266540,15122087,12640910,3062614,581437,244,36.6,0.696,"39.97","115.43","10/1/2012"
"S004","ERR1877790","Dry_tropical_forests","-","Global_soil","ENA_ERP020652",699167,119203,302123,579964,397044,200829,17909,236,35.7,0.737,"-24.95","47.00","3/12/2010"
"S004","ERR1877791","Dry_tropical_forests","-","Global_soil","ENA_ERP020652",699167,119203,302123,579964,397044,200829,17909,236,35.7,0.737,"-24.95","47.00","3/12/2010"
"G2648","ERR1877792","Mediterrean","-","Global_soil","ENA_ERP020652",658907,89573,269756,569334,389151,182421,2238,235,35.1,0.875,"-34.96","117.44","11/3/2011"
"G2747","ERR1877795","Savannas","-","Global_soil","ENA_ERP020652",7456747,336548,1381058,7120199,6075689,1080221,35711,239,35.4,0.854,"-12.76","132.75","12/5/2011"
"G2747","ERR1877796","Savannas","-","Global_soil","ENA_ERP020652",7456747,336548,1381058,7120199,6075689,1080221,35711,239,35.4,0.854,"-12.76","132.75","12/5/2011"
"G2658","ERR1877798","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",16062736,1032058,9141585,15030678,6921151,8148883,39356,235,35,0.981,"-9.44","147.38","11/5/2011"
"G2658","ERR1877799","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",16062736,1032058,9141585,15030678,6921151,8148883,39356,235,35,0.981,"-9.44","147.38","11/5/2011"
"G2658","ERR1877800","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",16062736,1032058,9141585,15030678,6921151,8148883,39356,235,35,0.981,"-9.44","147.38","11/5/2011"
"G2658","ERR1877801","Moist_tropical_forests","-","Global_soil","ENA_ERP020652",16062736,1032058,9141585,15030678,6921151,8148883,39356,235,35,0.981,"-9.44","147.38","11/5/2011"
